rank,title,popularity,article,bsn
1,MapleStory Worlds,335009,118,79354
2,暗黑破壞神 4,168364,79,75105
3,新楓之谷,154340,24,7650
4,天堂：經典版,117165,91,84452
5,Final Fantasy XIV,103899,77,17608
6,燕雲十六聲,81025,179,75703
7,AION2,56058,50,82913
8,RO 仙境傳說 Online,50867,13,4212
9,英雄聯盟 League of Legends,47682,120,17532
10,暗黑破壞神,33797,76,742
11,Freestyle: Reboot,33430,44,85300
12,黑色沙漠 BLACK DESERT,31676,13,19017
13,流亡黯道 Path of Exile,23398,3,18966
14,WOW 魔獸世界,20586,15,5219
15,流亡黯道 PoE 2,20377,1,82273
16,赤血沙漠,17062,10,37615
17,Minecraft 我的世界（當個創世神）,14650,36,18673
18,RO 仙境傳說 Online：樂園,11273,6,83142
19,火炬之光：無限,10899,9,74756
20,爐石戰記,10431,3,24044
21,APEX 英雄,10342,4,36072
22,Slay the Spire,10001,1,33661
23,Garena 三角洲行動,8639,17,78342
24,龍胤立志傳,7669,4,84973
25,天堂Lineage,7261,0,842
26,新瑪奇 Mabinogi,7166,0,7422
27,雀魂麻將majsoul,7139,5,36476
28,希望戀曲 Online,7118,4,18041
29,戰鎚：40K 系列（Warhammer:40000）,7101,7,7506
30,戰艦世界 World of Warships,6653,6,21052
31,電馭叛客 2077,6339,0,23379
32,Warframe,5836,8,22797
33,Free Style,5777,4,8610
34,CS Online﹝絕對武力﹞,5263,1,11902
35,巨商,4861,3,5079
36,鬥陣特攻,4570,1,27362
37,Dead by Daylight（黎明死線）,4557,6,29919
38,柏德之門 系列,4402,2,2954
39,活俠傳,4283,1,73317
40,飄流幻境 Online,4215,0,8897
41,靈魂面甲,4183,5,79921
42,世紀帝國 系列,3915,0,1122
43,魔力寶貝,3904,0,2577
44,永恆輪迴,3897,3,38217
45,新瑪奇英雄傳,3881,1,16583
46,Once Human,3822,5,78260
47,戰車世界 World of Tanks,3807,1,18214
48,大俠立志傳,3689,0,76900
49,遙遙西土,3645,1,82985
50,吸血鬼倖存者,3606,0,74171
51,風啟之旅,3561,2,84857
52,天國降臨：救贖 系列,3556,2,30945
53,幻獸帕魯,3536,0,71458
54,戰意,3431,0,30786
55,戰爭雷霆（War Thunder）,3316,2,20947
56,魔獸爭霸,3315,2,3044
57,上古卷軸 系列(The Elder Scrolls),2836,0,2526
58,天外Online,2815,0,6784
59,艦隊 Collection,2794,2,24698
60,暗黑破壞神 3,2713,0,21400
61,特戰英豪,2671,0,38093
62,戰地風雲,2658,2,4220
63,潛水員戴夫,2650,0,35628
64,絕地求生 PUBG,2621,1,30630
65,異塵餘生 系列,2602,0,2023
66,艾爾之光,2589,0,12259
67,千年戰爭 Aigis～一般版～,2579,1,27417
68,三國志 系列,2502,0,6331
69,夢幻魔法公主,2494,4,82629
70,Gamble With Your Friends,2479,0,85405
71,霧鎖王國,2353,1,77537
72,戰慄時空之絕對武力( CS ),2337,1,1473
73,劍靈 Blade & Soul,2302,2,12980
74,武林同萌傳Online,2290,1,6960
75,R.E.P.O.,2240,0,82396
76,黑神話 系列,2215,0,39114
77,RPG製作大師,2060,2,4918
78,新墨魂 Online,2043,6,38561
79,新天堂II,1969,2,5264
80,對魔忍 RPG,1964,1,35303
81,阿爾比恩 Online,1878,4,27044
82,黑帝斯,1810,0,35739
83,逸劍風雲決,1791,0,76881
84,新熱血江湖 Online,1766,0,8294
85,鬼谷八荒,1756,0,70540
86,Crusader Kings,1738,2,19480
87,科南的流亡,1724,2,31364
88,Stoneshard,1700,0,38794
89,邊緣世界,1695,2,27313
90,空洞騎士  系列,1674,0,27487
91,金庸群俠傳,1645,0,10859
92,歐洲美洲卡車模擬 系列,1639,0,16179
93,星露谷物語 Stardew Valley,1599,0,20774
94,失落的方舟（Lost Ark）,1573,0,27410
95,Cities: Skylines,1548,0,27991
96,第一繼承者,1540,0,71782
97,法術小隊,1507,0,80815
98,仙劍奇俠傳 系列,1481,0,2417
99,東方Project 系列,1475,2,10039
100,永恆冒險 Grand Chase Classic,1453,0,8948
101,天使之戀Online 國際版,1429,0,9734
102,逃離鴨科夫,1425,0,83580
103,童話 Online,1414,0,4211
104,幕府將軍、全軍破敵系列,1410,0,4236
105,三國群英傳Online,1402,3,6777
106,漫威爭鋒,1388,2,79940
107,激戰 2（Guild Wars 2 ）,1375,0,16901
108,巫師 The Witcher 系列,1375,0,7364
109,九日,1364,1,74687
110,魔獸世界：經典版,1295,1,36703
111,新龍之谷 Dragon Nest,1283,0,13211
112,騎馬與砍殺,1270,0,16393
113,A.V.A 戰地之王,1270,1,16618
114,決勝時刻,1252,0,5371
115,Core Keeper,1235,0,74451
116,武林群俠傳 Online,1227,0,12118
117,虹彩六號 系列,1196,2,1054
118,方舟 系列,1186,0,28423
119,Don't Starve,1150,1,23632
120,魔力寶貝：永恆初心,1132,0,70151
