rank,title,popularity,article,bsn
1,異環,397675,280,80679
2,SD 鋼彈 G 世代 永恆,224552,77,74906
3,鳴潮,191916,137,74934
4,勝利女神：妮姬,137689,61,36390
5,勇者鬥惡龍 破限亂鬥,127310,57,83661
6,棕色塵埃 2,95985,20,76207
7,崩壞：星穹鐵道,95438,59,72822
8,卡厄思夢境,76071,31,80099
9,明日方舟：終末地,73800,34,74604
10,神魔之塔,68341,90,23805
11,Fate/Grand Order,59557,49,26742
12,貓咪大戰爭（にゃんこ大戦争）,53970,6,23772
13,原神,53004,32,36730
14,天堂 Mobile,45922,18,25908
15,辟邪除妖 Variants Daphne,39644,17,70180
16,RO 仙境傳說：世界之旅,38515,23,83054
17,怪物彈珠,38130,9,25052
18,絕區零,32893,13,74860
19,蔚藍檔案,30128,15,38898
20,Pikmin Bloom,27458,13,72889
21,明日方舟,25410,17,33651
22,傳說對決 Arena of Valor,24511,209,30518
23,寶可夢集換式卡牌遊戲口袋版,23685,50,79688
24,Monster Hunter Now,22950,13,77414
25,點點英雄：骰子傳說,20715,14,85135
26,第七史詩,19849,17,34880
27,闇影詩章 Shadowverse,19678,5,29330
28,Pokemon GO,18721,8,29659
29,碧藍航線,17436,6,32550
30,少女前線 2：追放,16051,12,70502
31,天堂 W,15524,3,71905
32,塵白禁域,15388,1,72111
33,星塔旅人,14056,5,81566
34,全境封鎖：曙光,13326,8,75244
35,星之救援者 StarSavior,12803,5,81995
36,MLB：9 局職棒 系列,12531,7,31114
37,煙雨江湖,12426,15,71402
38,無盡輪迴：鬼域摸金,12051,6,85166
39,鬼雄三國：主公有夠鬼,12012,26,85099
40,楓之谷：放置冒險記,11861,2,82899
41,七騎士 RE:BIRTH,11416,8,79741
42,七大罪：Origin,11087,4,74141
43,楓之谷 M,11071,3,29461
44,Another Eden：穿越時空的貓,10748,2,29220
45,三國志•戰略版,10317,2,36815
46,劍與遠征：啟程,10255,2,75975
47,心動小鎮,10109,6,75403
48,超異域公主連結☆Re:Dive,9957,37,30861
49,天地劫 手機版,9937,4,38462
50,NBA 王朝崛起,9827,44,85221
51,夢幻模擬戰 手機版,9230,3,33596
52,權力遊戲：國王大道,8868,19,81266
53,女神異聞錄：夜幕魅影,8680,4,71034
54,信長之野望 真戰,8567,15,82869
55,賽馬娘Pretty Derby,8367,5,34421
56,Limbus Company,7177,2,73052
57,鈴蘭之劍：爲這和平的世界,7112,2,71838
58,杖劍傳說：坎斯汀之約,6977,2,80389
59,緋紅的神約 Echocalypse,6873,1,75058
60,緋染天空 Heaven Burns Red,6816,2,37697
61,英雄聯盟：聯盟戰棋,6148,4,38053
62,Rogue with the Dead - 亡途轉生,6137,2,81808
63,最後的克勞迪亞,5766,1,35735
64,荒野亂鬥,5675,1,32407
65,逆水寒,5429,4,77001
66,Kingshot,5400,3,82382
67,運氣拼輸贏,5208,4,80385
68,忘卻前夜 Morimens,5186,4,78829
69,重返未來：1999,5180,5,75028
70,嘟嘟臉惡作劇,5020,3,78781
71,問答 RPG 魔法使與黑貓維茲,5004,5,25730
72,碧藍幻想 系列,4924,8,25204
73,魔靈召喚,4882,2,26380
74,魔御：STAR DIVE,4850,3,81457
75,Pokémon Sleep,4819,9,36685
76,世界計畫 繽紛舞台！ feat. 初音未來,4775,2,37505
77,薑餅人王國,4719,2,70199
78,寒霜啟示錄,4366,0,76999
79,RO 仙境傳說：愛如初見 Classic,4335,3,84500
80,DRAGON BALL Z -七龍珠爆裂激戰-,4277,5,27096
81,守望傳說 Guardian Tales,4131,4,38113
82,英雄傳說 卡卡布三部曲,4102,8,80736
83,龍族拼圖 Puzzle & Dragons,4011,0,22153
84,寶可夢大師,3713,1,36673
85,RO 新世代：攜手同行,3653,1,37030
86,白貓 Project,3560,1,26686
87,三國：謀定天下,3545,0,83812
88,Bleach：刀鳴,3388,1,78017
89,遺忘之劍,3382,4,80652
90,XXL 猛漢町,3373,0,80107
91,我獨自升級：ARISE,3370,2,77218
92,忍者喵喵：保衛村莊,3288,1,80326
93,地牢深處 Dungeon Within,3243,0,85358
94,同盟塔防戰,3208,5,81508
95,鎖鏈戰記 CHAIN CHRONICLE,3139,3,24520
96,遊戲王 決鬥聯盟,3137,3,29618
97,MLB 勁旅對決,3121,1,77583
98,歧路旅人：大陸的霸者,3112,0,36225
99,召喚圖板 Summons Board,3032,0,25691
100,蔚藍星球：國王很忙,2964,3,83538
101,仙逆 M,2909,0,85478
102,部落衝突：皇室戰爭,2898,1,29712
103,我想成為影之強者！Master of Garden,2893,1,75993
104,RO 仙境傳說：守護永恆的愛 Classic,2680,1,82344
105,Evil Hunter Tycoon 獵魔村物語,2675,0,38066
106,弓箭傳說 系列,2597,1,36683
107,RAID : Shadow Legends,2498,1,36208
108,托蘭異世錄 Toram Online RPG,2390,2,28271
109,暗黑破壞神：永生不朽,2315,0,35531
110,英雄聯盟：激鬥峽谷,2303,1,37459
111,魔力寶貝：重返法蘭,2285,2,84025
112,新熱血江湖：世界,2281,2,84232
113,BanG Dream！少女樂團派對,2272,0,31877
114,崩壞 3rd,2270,1,31066
115,卡皮巴拉 Go,2244,0,81254
116,RO仙境傳說：守護永恆的愛,2236,0,28924
117,全民打棒球 Pro,2214,2,39283
118,航海王：秘寶尋航,2188,1,26291
119,RO仙境傳說：愛如初見（Ragnarok ORIGIN）,2116,0,37657
120,全明星街球派對,2091,1,79697
