rank,title,popularity,article,bsn
1,電腦應用綜合討論,174736,67,60030
2,Steam 綜合討論板,55402,15,60599
3,綜合公仔玩具討論區,35630,19,60036
4,影音視聽討論區,17344,3,60535
5,智慧型手機,15315,4,60559
6,職場甘苦談,15033,8,60561
7,ACG二手交易板,13808,74,60508
8,動漫相關綜合,11218,89,60037
9,電影娛樂新視界,10034,11,60200
10,桌上角色扮演遊戲(TRPG)討論,5823,9,60429
11,歡樂惡搞 KUSO,5771,16,60084
12,汽機車討論,5243,2,60545
13,模型技術與資訊,4277,2,60053
14,野戰 (生存) 遊戲,4025,2,60534
15,布袋戲文化綜合討論區,3640,3,867
16,虛擬 Youtuber（Vtuber）,3377,14,60608
17,電視遊樂器綜合討論區,3137,4,60001
18,酸甜苦辣留言板,1926,2,60091
19,講談說論,1872,11,60440
20,軍事策略,1748,1,60208
21,VR 虛擬實境綜合討論,1475,0,60606
22,繪畫與影像技術交流,1454,5,60143
23,恐怖驚悚,1199,0,60201
24,世界之不可思議,1107,0,60433
25,軍旅生活,958,0,60564
26,熱門美國影集,800,1,60481
27,輕小說綜合,771,2,60415
28,百合天國,764,2,60405
29,獨立遊戲 Indie Game,695,2,60603
30,綜合實況討論板,648,6,60592
31,NBA 系列,558,1,4373
32,美少女遊戲,557,0,60446
33,偽娘向上委員會,545,2,60552
34,空想奇談創作交流區,530,1,60154
35,桌上遊戲 (BoardGame) 綜合討論,496,0,60537
36,女性向遊戲,480,0,60480
37,樂器交流板,474,0,60598
38,程式設計板,418,2,60292
39,集換式卡牌遊戲（TCG）討論區,396,0,81445
40,VOCALOID 虛擬人聲,395,1,60499
41,往日遊戲,390,1,60230
42,日本綜藝影劇,388,0,60531
43,手機與行動遊戲討論區,384,0,60059
44,自行車,293,0,60562
45,Cosplay 電漫角色扮演,288,0,60253
46,棒球運動推廣,281,0,60530
47,小品遊戲分享討論,269,2,60183
48,NVIDIA 玩家交流區,267,0,60247
49,攝影交流板,266,0,60549
50,幸福寵物交流區,236,1,60546
51,偵探推理,234,0,60219
52,PC 線上遊戲綜合討論區,225,0,60520
53,Unity 遊戲引擎,202,0,60602
54,香港漫畫板,200,0,60414
55,歐美動畫綜合討論,198,0,60605
56,陰屍路,194,0,20346
57,聲優天地,179,1,60388
58,外語討論板,178,0,60541
59,笑話板,168,0,60555
60,綜合武術交流,167,0,60444
61,超級大玩家～吃喝玩樂電玩族,164,0,60080
62,綜合音樂板,149,1,60229
63,PC Game 電腦遊戲綜合討論區,146,0,60507
64,烹飪技巧,136,0,60565
65,日本歷史相關ACG(遊戲動漫),135,0,60238
66,AMD Fans 俱樂部,134,0,60152
67,Dolls 人形,130,1,60471
68,圖書交流哈啦板,126,3,60286
69,樂高積木相關綜合,123,0,60584
70,網路購物交流,119,0,60554
71,獸迷主題樂園,118,0,60604
72,韓國綜藝影劇,113,0,60536
73,電玩人求職中心,110,0,60490
74,BL 綜合討論,110,0,60198
75,海外生活及旅遊相關,106,0,60497
76,國產遊戲綜合區,106,1,60402
77,遊戲修改寶典,102,0,60041
78,八卦板,100,0,60553
79,MMD 製作與技術交流,99,0,60610
80,光榮板,95,0,60022
81,AI 應用討論,92,0,85831
82,校園生活,90,0,60556
83,日本歌曲與歌手,86,0,60601
84,飛鏢運動推廣交流,76,0,60589
85,影像處理製作技巧,76,0,60427
86,武俠世界,75,0,60368
87,台中市,75,0,60569
88,APP 軟體交流,72,0,60593
89,網咖向上委員會,64,0,60355
90,星座交流,64,0,60566
91,台南市,64,0,60570
92,屏東板,63,0,60579
93,奇幻文學與遊戲,62,0,60215
94,光線槍射擊遊戲,62,0,60218
95,網路暨遊戲安全防護,60,0,60289
96,巴哈姆特勇者造型哈啦板,60,0,60094
97,中華歷史相關遊戲,60,0,60318
98,迪士尼電影動畫系列綜合板,59,0,60600
99,電漫蘿莉,56,0,60199
100,SQUARE ENIX,56,0,60071
101,綜合運動板,53,0,60540
102,心理測驗綜合討論,53,0,60217
103,SCP 基金會綜合討論,53,0,22580
104,桃園板,52,0,60572
105,宜蘭板,50,0,60580
106,魔獸恩仇錄,48,0,60503
107,巴哈勇者造型創作技巧討論板,48,0,60153
108,嘉義板,46,0,60578
109,雲林板,42,0,60577
110,新竹板,42,0,60573
111,新北市,42,0,60568
112,台北市,41,0,60567
113,流行娛樂特區,40,0,60434
114,Unreal Engine,40,0,60607
115,花蓮板,39,0,60581
116,大眾交通討論板,38,0,60586
117,高雄市,36,0,60571
118,血肉之戰（Flesh and Blood）,36,0,71362
119,特文館寫作交流區,36,0,60156
120,澎湖板,35,0,60583
